question,option1,option2,option3,option4,level,answer,year,shift,label
"A and B can do a work in 12 days and 18 days, respectively. They worked together for 4 days after which B was replaced by C and the remaining work was completed by A and C in the next 4 days. In how many days will C alone complete 50% of the same work?",24,36,21,18,M,Answer: D,2022,20th shift 3,Time & Work
"Ankita's weight is 20% less than that of her grandmother. The grandmother weight 26 kg less than grandmother's husband, whose weight is 81 kg. If Ankita's brother is 8 kg heavier than Ankita, then what is the weight (in kg) of Anikita's brother?",60,19,36,52,E,D,2022,21st shift 3,Profit & Loss
"A reduction of 15% in the price of wheat enables a housewife to buy 6 kg more for ₹2,720. The reduced price of wheat per kg (in ₹) is:",68,75,65,70,E,A,2022,21st shift 3,Profit & Loss
"A borrows a sum of ₹90,000 for 4 years at 5% simple interest. He lends it to B at 7% for 4 years at simple interest. What is his gain (in ₹)?",8000,9000,7500,7200,E,D,2022,21st shift 3,SI & CI
"LCM and HCF of two numbers are 90 and 15, respectively. If the sum of the two numbers is 75, then find the greater number.",75,90,45,60,E,C,2022,21st shift 3,HCF & LCM
"Ras Bihari, a plumber, earned on an average ₹925 per day in the month of January. He earned on an average ₹881 per day during the first 20 days and ₹915 per day during the last 20 days. What was his average income (in ₹) per day from 12th January to 
20^{th}
20
th
 January?",800,805,875,795,M,B,2022,21st shift 3,Calendar
"The length of the shadow of a vertical tower on level ground increases by 8.4 cm when the altitude of the sun changes from 
45^{\circ}
45
∘
 to 
30^{\circ}
30
∘
. What is the height of the tower (in m)?","4.2\left(\sqrt{3}+1\right)
4.2(
3
	​

+1)","8.4\left(\sqrt{3}+3\right)
8.4(
3
	​

+3)","4.2\left(\sqrt{3}-1\right)
4.2(
3
	​

−1)","4.2\left(\sqrt{3}+3\right)
4.2(
3
	​

+3)",M,A,2022,21st shift 3,Height & Distance
"Find the value of the following expression:
-5 + 5 + 625
\div
÷ 5 
\times
×5",25,625,121,605,E,B,2022,21st shift 3,Simplification
"Three partners X, Y and Z started their business by investing ₹40,000, ₹38,000 and ₹38,000, respectively. After 6 months, X and Z made additional investments of ₹20,000 and ₹15,000 respectively, whereas Y withdrew ₹8.000. Find the share of Y (in ₹) in the total profit of ₹38,880 made at the end of the year.",10950,10200,10880,9800,E,C,2022,21st shift 3,Profit & Loss
A solid cone of radius 7 cm and height 7 cm was melted along with two solid spheres of radius 7 cm each to form a solid cylinder of radius 7 cm. What is the curved surface area of the cylinder? ,2196,924,482,880,H, B,2022,21st shift 2,Mensuration
